Harvest data
Species,Region,Period,Value
sw,south,0,0.0
hw,south,0,0.0
sw,north,0,0.0
hw,north,0,0.0
sw,south,1,0.0
hw,south,1,0.0
sw,north,1,0.0
hw,north,1,0.0
sw,south,2,0.0
hw,south,2,0.0
sw,north,2,0.0
hw,north,2,0.0
sw,south,3,0.0
hw,south,3,0.0
sw,north,3,0.0
hw,north,3,0.0
sw,south,4,0.0
hw,south,4,0.0
sw,north,4,0.0
hw,north,4,0.0
sw,south,5,0.0
hw,south,5,0.0
sw,north,5,0.0
hw,north,5,0.0
sw,south,6,0.0
hw,south,6,0.0
sw,north,6,0.0
hw,north,6,0.0
sw,south,7,0.0
hw,south,7,0.0
sw,north,7,0.0
hw,north,7,0.0
sw,south,8,2235.3277505657034
hw,south,8,2142.717370180095
sw,north,8,2540.2185003771356
hw,north,8,2478.47824678673
Age data
Region,Period,Value
north,8,50.0
south,8,50.0
north,5,41.0
south,5,34.0
north,6,50.0
south,6,50.0
north,7,50.0
south,7,50.0
