Harvest data
Species,Region,Period,Value
sw,south,0,1047.554625094284
hw,south,0,1032.1195616966825
sw,north,0,1790.2185003771356
hw,north,0,1728.4782467867299
sw,south,1,1180.4370007542711
hw,south,1,1056.9564935734595
sw,north,1,147.5546250942839
hw,north,1,132.1195616966824
sw,south,2,590.2185003771356
hw,south,2,528.4782467867296
sw,north,2,737.7731254714195
hw,north,2,660.5978084834121
sw,south,3,295.1092501885678
hw,south,3,264.2391233933648
sw,north,3,737.7731254714195
hw,north,3,660.5978084834121
sw,south,4,422.8256673826082
hw,south,4,376.05792865170565
sw,north,4,1120.9223770535407
hw,north,4,996.0542242584345
sw,south,5,0.0
hw,south,5,0.0
sw,north,5,0.0
hw,north,5,0.0
sw,south,6,300.0
hw,south,6,300.0
sw,north,6,300.0
hw,north,6,300.0
sw,south,7,0.0
hw,south,7,0.0
sw,north,7,150.0
hw,north,7,150.0
sw,south,8,750.0
hw,south,8,750.0
sw,north,8,600.0
hw,north,8,600.0
sw,south,9,5708.160924277241
hw,south,9,5347.52779239265
sw,north,9,5202.7975482538595
hw,north,9,4760.133645581093
Age data
Region,Period,Value
north,8,29.0
south,8,39.0
north,9,30.0
south,9,38.0
north,5,10.0
south,5,10.0
north,6,19.0
south,6,26.0
north,7,29.0
south,7,31.0
